Nation,Born,id,Country Name,,
ESP,1989,https://fbref.com/en/players/30f729b3/Sergio-Abad-Beyxer,Spain,FALSE,0
ITA,1986,https://fbref.com/en/players/1c529186/Ignazio-Abate,Italy,FALSE,0
ITA,1977,https://fbref.com/en/players/322421c2/Christian-Abbiati,Italy,FALSE,0
NOR,1985,https://fbref.com/en/players/7b068bd2/Mohammed-Abdellaoue,Norway,FALSE,0
MAR,1981,https://fbref.com/en/players/fc6a1641/Yacine-Abdessadki,Morocco,FALSE,0
SUI,1986,https://fbref.com/en/players/8d425d84/Almen-Abdi,Switzerland,FALSE,0
GER,1981,https://fbref.com/en/players/b0157081/Mathias-Abel,Germany,FALSE,0
ESP,1982,https://fbref.com/en/players/e35b4a15/Damia-Abella,Spain,FALSE,0
FRA,1989,https://fbref.com/en/players/d5246edc/Loic-Abenzoar,France,FALSE,0
FRA,1979,https://fbref.com/en/players/016828bd/Eric-Abidal,France,FALSE,0
CMR,1992,https://fbref.com/en/players/8637e09a/Vincent-Aboubakar,Cameroon,FALSE,0
FRA,1979,https://fbref.com/en/players/94ae30a8/Fabrice-Abriel,France,FALSE,0
PER,1977,https://fbref.com/en/players/39168d69/Santiago-Acasiete,Peru,FALSE,0
ITA,1982,https://fbref.com/en/players/f858882a/Pietro-Accardi,Italy,FALSE,0
ARG,1988,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,Argentina,FALSE,0
ITA,1987,https://fbref.com/en/players/d2b115ae/Robert-Acquafresca,Italy,FALSE,0
GHA,1992,https://fbref.com/en/players/d7403bd5/Afriyie-Acquah,Ghana,FALSE,0
SCO,1985,https://fbref.com/en/players/aff418dc/Charlie-Adam,Scotland,FALSE,0
ESP,1987,https://fbref.com/en/players/65d62814/Antonio-Adan,Spain,FALSE,0
TOG,1984,https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor,Togo,FALSE,0
BRA,1985,https://fbref.com/en/players/d1b3afca/Adeilson,Brazil,FALSE,0
GER,1985,https://fbref.com/en/players/f71890f5/Rene-Adler,Germany,FALSE,0
BRA,1982,https://fbref.com/en/players/e9350581/Adriano,Brazil,FALSE,0
BRA,1984,https://fbref.com/en/players/9d8586c4/Adriano,Brazil,FALSE,0
BRA,1982,https://fbref.com/en/players/4ec73d8a/Adriano,Brazil,FALSE,0
ESP,1981,https://fbref.com/en/players/293211e1/Aritz-Aduriz,Spain,FALSE,0
NED,1986,https://fbref.com/en/players/9a8c6673/Ibrahim-Afellay,Netherlands,FALSE,0
ITA,1984,https://fbref.com/en/players/0eda0ab8/Michael-Agazzi,Italy,FALSE,0
ENG,1986,https://fbref.com/en/players/db80f5f1/Gabby-Agbonlahor,England,FALSE,0
DEN,1984,https://fbref.com/en/players/f1ea4af0/Daniel-Agger,Denmark,FALSE,0
ESP,1975,https://fbref.com/en/players/0437c448/Sendoa-Agirre,Spain,FALSE,0
ESP,1987,https://fbref.com/en/players/c84c1afc/Imanol-Agirretxe,Spain,FALSE,0
ITA,1979,https://fbref.com/en/players/9549f66d/Alessandro-Agostini,Italy,FALSE,0
ARG,1988,https://fbref.com/en/players/4d034881/Sergio-Aguero,Argentina,FALSE,0
COL,1985,https://fbref.com/en/players/6936b41b/Abel-Aguilar,Colombia,FALSE,0
GHA,1990,https://fbref.com/en/players/fe0b8f0e/Emmanuel-Agyemang-Badu,Ghana,FALSE,0
COM,1991,https://fbref.com/en/players/0b64b1e6/Ali-Ahamada,Comoros,FALSE,0
MAR,1989,https://fbref.com/en/players/e4f090b8/Karim-Ait-Fana,Morocco,FALSE,0
NGA,1982,https://fbref.com/en/players/a1fe3f62/Yakubu-Aiyegbeni,Nigeria,FALSE,0
