ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem
0000acda,Marco-Benassi,Italy,1994,11,6,"['1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A']","['9th', '20th', '9th', '12th', '9th', '8th', '16th', '10th', '10th', '14th', '7th', '13th']",216,26.0,0
000b3da6,Manuel-Iturra,Chile,1984,10,9,"['1. Primeira Liga', '2. Segunda División', '1. La Liga', '1. La Liga', '1. La Liga', '1. Serie A', '1. La Liga', '1. Liga MX', '1. Liga MX', '1. La Liga', '2. Segunda División', '1. La Liga', '1. Primera División']","['10th', '18th', '6th', '15th', '17th', '17th', '18th', '8th', '9th', '20th', '3rd', '14th', '15th']",234,2.0,1
001a63e0,Ozkan-Yildirim,Germany,1993,7,4,"['3. 3. Liga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '3. 3. Liga', '2. 2. Bundesliga', '2. 2. Bundesliga']","['18th', '14th', '12th', '10th', '13th', '17th', '11th', '17th']",58,4.0,0
00242715,Moussa-Niakhate,France,1996,9,4,"['2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '1. Ligue 1', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League']","['16th', '12th', '13th', '20th', '12th', '13th', '12th', '8th', '19th']",237,10.0,1
00242b75,Leandro-Barreiro-Martins,Luxembourg,2000,7,3,"['Jr. U17 Bundesliga', 'Jr. U19 Bundesliga', 'Jr. U19 Bundesliga', 'Jr. U19 Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['10th', '10th', '16th', '9th', '12th', '13th', '12th', '8th', '12th']",150,14.0,0
002d06bb,Sylvain-Distin,France,1977,16,6,"['1. Division 1', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['9th', '4th', '9th', '16th', '8th', '15th', '14th', '8th', '14th', '20th', '8th', '7th', '7th', '6th', '5th', '11th', '16th']",497,8.0,1
0033fb1b,Niclas-Eliasson,Sweden,1995,11,6,"['2. Superettan', '1. Allsvenskan', '1. Allsvenskan', '1. Allsvenskan', '1. Allsvenskan', '1. Allsvenskan', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '1. Super League']","['1st', '3rd', '3rd', '2nd', '3rd', '6th', '11th', '8th', '12th', '19th', '19th', '9th', '19th', '2nd']",246,22.0,0
003a5c72,Mikel-San-Jose,Spain,1989,13,3,"['1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '2. Championship', '2. Segunda División']","['8th', '6th', '10th', '12th', '4th', '7th', '5th', '7th', '16th', '8th', '11th', '18th', '19th']",358,28.0,1
00454f25,Soufian-Benyamina,Germany,1990,13,10,"['3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '1. Bundesliga', '2. 2. Bundesliga', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '3. 3. Liga', '1. Ekstraklasa', '1. Ekstraklasa', '3. 3. Liga', '3. 3. Liga']","['5th', '10th', '11th', '14th', '12th', '17th', '6th', '9th', '16th', '10th', '15th', '6th', '7th', '6th', '19th', '17th']",315,72.0,0
00459419,Marko-Arnautovic,Austria,1989,18,7,"['1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Serie A', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Super League', '1. Super League', '1. Super League', '1. Serie A', '1. Serie A']","['4th', '4th', '2nd', '1st', '13th', '9th', '14th', '12th', '9th', '9th', '9th', '13th', '13th', '10th', '3rd', '2nd', '2nd', '13th', '17th']",373,108.0,1
