ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem,Prem
00242715,Moussa-Niakhate,France,1996,9,4,"['2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '1. Ligue 1', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League']","['16th', '12th', '13th', '20th', '12th', '13th', '12th', '8th', '19th']",237,10.0,1,1
002d06bb,Sylvain-Distin,France,1977,16,6,"['1. Division 1', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['9th', '4th', '9th', '16th', '8th', '15th', '14th', '8th', '14th', '20th', '8th', '7th', '7th', '6th', '5th', '11th', '16th']",497,8.0,1,1
00459419,Marko-Arnautovic,Austria,1989,18,7,"['1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Serie A', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Super League', '1. Super League', '1. Super League', '1. Serie A', '1. Serie A']","['4th', '4th', '2nd', '1st', '13th', '9th', '14th', '12th', '9th', '9th', '9th', '13th', '13th', '10th', '3rd', '2nd', '2nd', '13th', '17th']",373,108.0,1,1
007414dd,Samuel-Edozie,England,2003,3,3,"['Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 1']","['1st', '1st', '1st', '17th', '2nd']",33,5.0,1,1
007b39a5,Onel-Hernandez,Cuba,1993,9,5,"['2. 2. Bundesliga', '3. 3. Liga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship']","['18th', '13th', '3rd', '17th', '14th', '1st', '20th', '1st', '7th', '20th', '2nd']",230,20.0,1,1
008a6e6d,Ragnar-Klavan,Estonia,1985,17,6,"['1. Tippeligaen', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Serie A', '1. Serie A', '1. Serie A']","['2nd', '13th', '14th', '14th', '15th', '1st', '5th', '4th', '4th', '15th', '8th', '5th', '12th', '4th', '4th', '15th', '14th', '16th']",399,9.0,1,1
009633c8,Emir-Spahic,Bosnia and Herzegovina,1980,13,8,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Ligue 1', '1. Ligue 1', '1. La Liga', '1. La Liga', '1. Premier League', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['6th', '9th', '7th', '3rd', '7th', '7th', '5th', '14th', '9th', '9th', '3rd', '4th', '4th', '10th', '14th']",298,17.0,1,1
00963611,Konstantinos-Mavropanos,Greece,1997,7,4,"['1. Super League', '1. Super League', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['9th', '9th', '6th', '1st', '5th', '2nd', '8th', '6th', '16th', '9th', '15th', '17th']",110,8.0,1,1
00e1cf8f,Josh-Harrop,England,1995,6,4,"['1. Premier League', 'Jr. PL2 — Div. 1', '2. Championship', '2. Championship', '2. Championship', '3. League One', '2. Championship', '2. Championship', '3. League One']","['6th', '6th', '7th', '14th', '9th', '9th', '13th', '13th', '20th']",125,16.0,1,1
00f0482f,Shola-Shoretire,England,2004,3,1,"['1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1']","['2nd', '8th', '6th', '6th', '12th']",51,17.0,1,1
011360ce,Martin-Petrov,Bulgaria,1979,13,6,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. La Liga', '1. La Liga', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. La Liga', '1. A Group']","['10th', '8th', '10th', '9th', '10th', '7th', '9th', '10th', '5th', '14th', '18th', '7th', '13th', '2nd']",322,53.0,1,1
01226327,Ryan-Bertrand,England,1989,16,9,"['3. League One', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['19th', '8th', '17th', '22nd', '9th', '6th', '2nd', '6th', '3rd', '3rd', '15th', '7th', '6th', '8th', '17th', '16th', '11th', '15th', '8th']",407,8.0,1,1
012c38ec,Meritan-Shabani,Albania,1999,7,6,"['Jr. U19 Bundesliga', 'Jr. U19 Bundesliga', '1. Bundesliga', '1. Bundesliga', '3. 3. Liga', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Eredivisie', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 2', '1. Super Lg']","['7th', '3rd', '1st', '1st', '1st', '12th', '13th', '17th', '4th', '2nd', '6th']",81,13.0,1,1
012c975a,Rhys-Williams,England,2001,4,3,"['Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', '2. Championship', '2. Championship']","['4th', '7th', '3rd', '4th', '2nd', '15th', '19th']",39,3.0,1,1
016ff750,Valentino-Lazaro,Austria,1996,11,7,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Serie A', '1. Bundesliga', '1. Primeira Liga', '1. Serie A']","['2nd', '1st', '1st', '1st', '1st', '10th', '11th', '13th', '2nd', '8th', '3rd', '10th']",211,19.0,1,1
