ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
00242b75,0,Leandro-Barreiro-Martins,Luxembourg,2000,7,3,3,"['10th', '10th', '16th', '9th', '12th', '13th', '12th', '8th', '12th']",150,14.0
00242715,0,Moussa-Niakhate,France,1996,9,4,4,"['16th', '12th', '13th', '20th', '12th', '13th', '12th', '8th', '19th']",237,10.0
00459419,1,Marko-Arnautovic,Austria,1989,18,7,5,"['4th', '4th', '2nd', '1st', '13th', '9th', '14th', '12th', '9th', '9th', '9th', '13th', '13th', '10th', '3rd', '2nd', '2nd', '13th', '17th']",373,108.0
001a63e0,0,Ozkan-Yildirim,Germany,1993,7,4,3,"['18th', '14th', '12th', '10th', '13th', '17th', '11th', '17th']",58,4.0
005c0807,2,Zinedine-Ferhat,Algeria,1993,7,3,3,"['8th', '4th', '7th', '18th', '19th', '9th', '11th']",184,21.0
0033fb1b,2,Niclas-Eliasson,Sweden,1995,11,6,6,"['1st', '3rd', '3rd', '2nd', '3rd', '6th', '11th', '8th', '12th', '19th', '19th', '9th', '19th', '2nd']",246,22.0
007b39a5,1,Onel-Hernandez,Cuba,1993,9,5,4,"['18th', '13th', '3rd', '17th', '14th', '1st', '20th', '1st', '7th', '20th', '2nd']",230,20.0
00891164,2,Cedric-Hountondji,Benin,1994,11,8,4,"['12th', '9th', '19th', '8th', '9th', '16th', '7th', '3rd', '5th', '2nd', '17th', '17th']",212,5.0
007faf7a,2,Lucas-Da-Cunha,France,2001,3,4,2,"['3rd', '6th', '5th', '17th']",54,8.0
008a6e6d,0,Ragnar-Klavan,Estonia,1985,17,6,5,"['2nd', '13th', '14th', '14th', '15th', '1st', '5th', '4th', '4th', '15th', '8th', '5th', '12th', '4th', '4th', '15th', '14th', '16th']",399,9.0
00844823,0,Niklas-Moisander,Finland,1985,17,8,6,"['9th', '4th', '1st', '5th', '4th', '4th', '10th', '1st', '14th', '1st', '2nd', '15th', '8th', '11th', '8th', '16th', '17th', '1st', '6th']",399,14.0
00b0bb87,4,Fabrizio-Cacciatore,Italy,1986,13,8,2,"['8th', '4th', '18th', '2nd', '5th', '2nd', '10th', '7th', '9th', '14th', '13th', '20th', '15th', '14th', '16th']",293,12.0
00528660,4,Filippo-Costa,Italy,1995,6,4,2,"['9th', '14th', '1st', '17th', '13th', '20th', '12th']",80,3.0
0118c54c,2,Anthony-Caci,France,1997,7,2,3,"['1st', '15th', '11th', '10th', '15th', '6th', '12th']",114,3.0
0127419a,4,Ianis-Hagi,Romania,1998,8,4,4,"['11th', '5th', '8th', '8th', '4th', '3rd', '7th', '2nd', '1st', '2nd']",154,32.0
0000acda,4,Marco-Benassi,Italy,1994,11,6,1,"['9th', '20th', '9th', '12th', '9th', '8th', '16th', '10th', '10th', '14th', '7th', '13th']",216,26.0
0136606c,3,Foued-Kadir,Algeria,1983,9,6,3,"['10th', '12th', '12th', '11th', '2nd', '6th', '12th', '1st', '10th', '3rd', '18th', '13th']",194,22.0
014662c1,0,Lukas-Raeder,Germany,1993,8,6,5,"['1st', '14th', '15th', '12th', '11th', '19th', '9th', '11th']",85,0.0
